STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,AUS,Australia,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,2623.13,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,AUS,Australia,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,3070.7,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,1UN029,WTO - International Trade Centre [ITC],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,53.12,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,1UN029,WTO - International Trade Centre [ITC],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,52.38,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,1UN029,WTO - International Trade Centre [ITC],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,51.95,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PLG0_GB,People's Postcode Lottery,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,70.67,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PLG0_GB,People's Postcode Lottery,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,61.09,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PLG0_GB,People's Postcode Lottery,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,76.84,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PLG0_GB,People's Postcode Lottery,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,58.01,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,10955.82,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,9339.01,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,12762.69,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,12591.29,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5WB002,International Development Association [IDA],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,34334.69,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5WB002,International Development Association [IDA],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,19407.93,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5WB002,International Development Association [IDA],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,39151.1,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,5WB002,International Development Association [IDA],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,30582.11,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,1UN010,UN Institute for Disarmament Research [UNIDIR],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,0.4,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,1UN010,UN Institute for Disarmament Research [UNIDIR],DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,0.19,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,CYP,Cyprus,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,5.99,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1624,William and Flora Hewlett Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,176.66,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1624,William and Flora Hewlett Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2019,,182.91,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1624,William and Flora Hewlett Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,208.05,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1624,William and Flora Hewlett Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,191.9,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1646,Bezos Earth Fund,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2021,,352.56,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1646,Bezos Earth Fund,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,322.69,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1646,Bezos Earth Fund,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2022,,169.91,,2022,,6,Millions
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC3A(1.1),DAC3A: Aid (ODA) commitments to countries and regions,I,9PRIV1640,Bloomberg Family Foundation,DPGC,Developing countries,305,"Official development assistance (ODA), commitments",USD,US dollar,Q,Constant prices,2020,,217.06,,2022,,6,Millions
